"","Asset","Forecast","Last Input Price","AR Alpha","Rolling Hit-Rate","SD","MAD"
"1","EUR/USD","-2e-04","1.1138","0.18","64.9","0.00494363744751273","0.00361921824104235"
"2","USD/JPY","-0.077","102.52","0.34","59.6","0.554760335676418","0.400130293159609"
"3","GBP/USD","-0.0031","1.3267","0.19","60.6","0.00837109139019497","0.00500358306188925"
"4","USD/CHF","-0.0014","0.9733","0.42","63","0.00401140525542172","0.00294495114006514"
"5","AUD/USD","3e-04","0.7498","0.13","52.4","0.00399503881087294","0.00306123778501629"
"6","USD/CAD","-1e-04","1.2911","0.28","56.2","0.00595315434240647","0.00432540716612377"
"7","EUR/CHF","3e-04","1.0843","0.09","52.4","0.00242219112729485","0.00184592833876222"
"8","NZD/USD","6e-04","0.7172","0.16","54.8","0.00431269770804058","0.00330553745928339"
"9","EUR/SEK","-0.0057","9.3965","0.22","57.2","0.0243409262354622","0.018228664495114"
"10","EUR/NOK","0.0049","9.293","0.03","54.3","0.0374318434167697","0.0278335504885993"
"11","USD/SEK","-0.002","8.436","0.1","56.7","0.0401238026046641","0.0284482084690554"
"12","USD/NOK","0.0123","8.3435","0.1","60.6","0.0441686517007686","0.0322885993485342"
"13","EUR/JPY","-0.1446","114.2","0.18","62.5","0.630835363834736","0.439478827361564"
"14","XAU/USD","2.1875","1341.23","0.17","58.7","8.56186140625534","6.45089576547231"
"15","XPD/USD","3.4815","607.879","0.17","46.6","10.9502078301575","5.63788599348534"
"16","EUR/GBP","0.0025","0.8393","0.33","56.7","0.00399998461813908","0.00271074918566775"
