"","Asset","Forecast","Last Input Price","AR Alpha","Rolling Hit-Rate"
"1","EUR/USD","3e-04","1.1251","0.39","56.5"
"2","USD/JPY","0.0018","106.96","0.44","53.5"
"3","GBP/USD","0.0026","1.4257","0.42","54.6"
"4","USD/CHF","1e-04","0.9645","0.5","58.1"
"5","AUD/USD","9e-04","0.7375","0.28","58.1"
"6","USD/CAD","-5e-04","1.2781","0.33","56.9"
"7","EUR/CHF","6e-04","1.0852","0.56","54.2"
"8","NZD/USD","-2e-04","0.7053","0.24","52.7"
"9","EUR/SEK","-0.0062","9.3491","0.4","55"
"10","EUR/NOK","-0.004","9.309","0.19","55.4"
"11","USD/SEK","-0.0083","8.3092","0.42","57.7"
"12","USD/NOK","-0.0132","8.274","0.44","60.8"
"13","EUR/JPY","0.0642","120.34","0.46","53.1"
"14","XAU/USD","-0.2453","1273.78","0.33","53.1"
"15","XPD/USD","0.4139","546","0.04","53.1"
"16","EUR/GBP","-3e-04","0.7892","0.37","52.3"
