"","Asset","Forecast","Last Input Price","AR Alpha","Rolling Hit-Rate","SD","MAD"
"1","EUR/USD","1e-04","1.1138","0.18","67.8","0.00494363744751273","0.00361921824104235"
"2","USD/JPY","-0.0628","102.52","0.34","63.9","0.554760335676418","0.400130293159609"
"3","GBP/USD","-0.0015","1.3267","0.19","63.9","0.00837109139019497","0.00500358306188925"
"4","USD/CHF","-0.001","0.9733","0.42","64.4","0.00401140525542172","0.00294495114006514"
"5","AUD/USD","3e-04","0.7498","0.13","53.4","0.00399503881087294","0.00306123778501629"
"6","USD/CAD","-3e-04","1.2911","0.28","58.2","0.00595315434240647","0.00432540716612377"
"7","EUR/CHF","-2e-04","1.0843","0.09","57.7","0.00242219112729485","0.00184592833876222"
"8","NZD/USD","8e-04","0.7172","0.16","56.7","0.00431269770804058","0.00330553745928339"
"9","EUR/SEK","-0.004","9.3965","0.22","56.7","0.0243409262354622","0.018228664495114"
"10","EUR/NOK","-6e-04","9.293","0.03","53.8","0.0374318434167697","0.0278335504885993"
"11","USD/SEK","-0.0022","8.436","0.1","64.4","0.0401238026046641","0.0284482084690554"
"12","USD/NOK","-0.0034","8.3435","0.1","60.1","0.0441686517007686","0.0322885993485342"
"13","EUR/JPY","-0.016","114.2","0.18","62.5","0.630835363834736","0.439478827361564"
"14","XAU/USD","2.3708","1341.23","0.17","60.6","8.56186140625534","6.45089576547231"
"15","XPD/USD","0.9872","607.879","0.17","43.8","10.9502078301575","5.63788599348534"
"16","EUR/GBP","0.0016","0.8393","0.33","57.2","0.00399998461813908","0.00271074918566775"
