Date,Time UTC+1,Model,Asset,Forecast,Last Input Price,AR Alpha,Rolling Hit-Rate,SD,MAD,ACD
"2016-07-06","00:44:00","AR","EUR/USD","DOWN","1.1137","0.34","64.4","0.0049","0.0036","1e-04"
"2016-07-06","00:44:03","AR","USD/JPY","UP","102.61","0.37","59.1","0.5536","0.3985","-0.09"
"2016-07-06","00:44:06","AR","GBP/USD","UP","1.3284","0.23","60.1","0.0084","0.005","-0.0042"
"2016-07-06","00:44:08","AR","USD/CHF","DOWN","0.973","0.46","63","0.004","0.0029","-6e-04"
"2016-07-06","00:44:11","AR","AUD/USD","UP","0.7511","0.21","52.4","0.004","0.0031","4e-04"
"2016-07-06","00:44:13","AR","USD/CAD","DOWN","1.2877","0.28","56.7","0.006","0.0043","-2e-04"
"2016-07-06","00:44:16","AR","EUR/CHF","DOWN","1.0837","0.21","51.9","0.0024","0.0018","4e-04"
"2016-07-06","00:44:19","AR","EUR/GBP","DOWN","0.8384","0.34","56.2","0.004","0.0027","0.0021"
"2016-07-06","00:44:22","AR","NZD/USD","UP","0.7201","0.18","54.8","0.0043","0.0033","-6e-04"
"2016-07-06","00:44:25","AR","EUR/SEK","DOWN","9.3984","0.37","57.7","0.0243","0.0182","0.0031"
"2016-07-06","00:44:28","AR","EUR/NOK","DOWN","9.2667","0.32","53.8","0.0375","0.0279","0.004"
"2016-07-06","00:44:30","AR","USD/SEK","UP","8.4389","0.26","56.7","0.0401","0.0284","7e-04"
"2016-07-06","00:44:33","AR","USD/NOK","DOWN","8.3206","0.26","60.1","0.0441","0.0322","0.0134"
"2016-07-06","00:44:36","AR","EUR/JPY","UP","114.28","0.28","62","0.6279","0.4365","-0.1184"
"2016-07-06","00:44:39","AR","XAU/USD","UP","1348.75","0.28","58.7","8.5705","6.468","2.4992"
"2016-07-06","00:44:42","AR","XAG/USD","UP","20.2747","0.42","57.7","0.1674","0.1229","0.2972"
"2016-07-06","00:44:46","AR","XPD/USD","UP","613.605","0.05","46.6","10.8121","5.5553","3.1235"
"2016-07-06","00:44:49","AR","XPT/USD","UP","1063.08","0.05","40.9","12.624","7.3045","-1.9317"
"2016-07-06","00:44:50","MA","EUR/USD","DOWN","1.1137","n.a.","67.3","0.0049","0.0036","-2e-04"
"2016-07-06","00:44:52","MA","USD/JPY","UP","102.61","n.a.","63.5","0.5536","0.3985","0.0517"
"2016-07-06","00:44:53","MA","GBP/USD","UP","1.3284","n.a.","63.5","0.0084","0.005","4e-04"
"2016-07-06","00:44:55","MA","USD/CHF","UP","0.973","n.a.","64.4","0.004","0.0029","0"
"2016-07-06","00:44:56","MA","AUD/USD","UP","0.7511","n.a.","53.4","0.004","0.0031","2e-04"
"2016-07-06","00:44:58","MA","USD/CAD","DOWN","1.2877","n.a.","58.7","0.006","0.0043","-8e-04"
"2016-07-06","00:45:00","MA","EUR/CHF","DOWN","1.0837","n.a.","57.2","0.0024","0.0018","-2e-04"
"2016-07-06","00:45:01","MA","EUR/GBP","DOWN","0.8384","n.a.","56.7","0.004","0.0027","-4e-04"
"2016-07-06","00:45:03","MA","NZD/USD","UP","0.7201","n.a.","56.7","0.0043","0.0033","6e-04"
"2016-07-06","00:45:05","MA","EUR/SEK","DOWN","9.3984","n.a.","56.7","0.0243","0.0182","-7e-04"
"2016-07-06","00:45:07","MA","EUR/NOK","DOWN","9.2667","n.a.","53.4","0.0375","0.0279","-0.0098"
"2016-07-06","00:45:08","MA","USD/SEK","UP","8.4389","n.a.","63.9","0.0401","0.0284","0.0014"
"2016-07-06","00:45:10","MA","USD/NOK","DOWN","8.3206","n.a.","60.1","0.0441","0.0322","-0.0054"
