"","Asset","Forecast","Last Input Price","AR Alpha","Rolling Hit-Rate"
"1","EUR/USD","4e-04","1.1265","0.39","58.5"
"2","USD/JPY","-0.3072","106.21","0.44","55"
"3","GBP/USD","-0.0036","1.4205","0.41","52.3"
"4","USD/CHF","1e-04","0.965","0.51","56.5"
"5","AUD/USD","4e-04","0.7389","0.28","52.7"
"6","USD/CAD","4e-04","1.2787","0.33","55.8"
"7","EUR/CHF","7e-04","1.0871","0.56","52.5"
"8","NZD/USD","0","0.7055","0.24","51.9"
"9","EUR/SEK","-0.0054","9.33","0.41","59.6"
"10","EUR/NOK","0.0025","9.3182","0.19","53.5"
"11","USD/SEK","-0.0083","8.282","0.43","61.5"
"12","USD/NOK","0.0051","8.2715","0.44","61.5"
"13","EUR/JPY","-0.3506","119.65","0.46","54.2"
"14","XAU/USD","2.5161","1280.42","0.32","53.8"
"15","XPD/USD","-0.4186","541.985","0.08","35"
"16","EUR/GBP","0.0015","0.7931","0.36","52.7"
