Date,Time UTC+1,Asset,AR Forecast,AR Rolling Hit-Rate,AR Alpha,AR ACD,MA Forecast,MA Rolling Hit-Rate,MA ACD,ARMA Forecast,AMRA Rolling Hit-Rate,ARMA ACD,Last Input,SD,MAD,0.25,0.5,0.75,0.8,0.9,0.95,0.99,1
17-07-16,02:44:09,XPT/USD,DOWN,39.4,0.05,-0.8488,DOWN,38.9,-0.513,DOWN,38.9,-0.5697,1091.51,12.5228,7.3897,,,,,,,,
18-07-16,07:45:16,EUR/USD,UP,48.6,-0.04,7.00E-04,UP,47.6,0,DOWN,51,-7.00E-04,1.10631,0.0063,0.0044,,,,,,,,
18-07-16,07:45:29,USD/JPY,DOWN,54.8,0.09,-0.0067,DOWN,51,-0.0147,UP,51.9,0.0051,105.391,0.6747,0.4912,,,,,,,,
18-07-16,07:45:39,GBP/USD,DOWN,54.8,-0.12,-0.0028,UP,57.2,1.00E-04,UP,57.2,7.00E-04,1.32271,0.0115,0.0065,,,,,,,,
18-07-16,07:45:47,USD/CHF,UP,51.9,0.14,0,UP,51.9,0,UP,51.9,0,0.98301,0.0049,0.0036,,,,,,,,
18-07-16,07:45:58,AUD/USD,UP,47.1,-0.1,0,UP,51,0,UP,49.5,0,0.75934,0.005,0.0038,,,,,,,,
18-07-16,07:46:06,USD/CAD,DOWN,46.6,-0.03,-5.00E-04,UP,47.6,0,DOWN,47.6,-1.00E-04,1.29414,0.0074,0.0055,,,,,,,,
18-07-16,07:46:16,EUR/CHF,UP,52.9,-0.2,0.001,UP,53.8,0,UP,53.8,4.00E-04,1.08742,0.0035,0.0025,,,,,,,,
18-07-16,07:46:25,EUR/GBP,UP,46.6,-0.05,5.00E-04,UP,46.6,0,DOWN,46.6,-2.00E-04,0.83621,0.0053,0.0035,,,,,,,,
18-07-16,07:46:32,NZD/USD,UP,53.4,-0.06,1.00E-04,UP,43.8,0,UP,43.8,4.00E-04,0.70948,0.0052,0.004,,,,,,,,
18-07-16,07:46:42,EUR/SEK,UP,51.9,-0.11,0.001,DOWN,51,-1.00E-04,DOWN,51,-6.00E-04,9.45924,0.0332,0.0242,,,,,,,,
18-07-16,07:46:50,EUR/NOK,DOWN,45.2,-0.07,-0.0027,UP,51,0,DOWN,51,-0.0012,9.34812,0.0504,0.0378,,,,,,,,
18-07-16,07:47:01,USD/SEK,DOWN,54.8,-0.1,-0.0048,UP,52.4,0,DOWN,52.9,-0.0017,8.54901,0.0524,0.0346,,,,,,,,
18-07-16,07:47:08,USD/NOK,DOWN,51.4,-0.13,-0.0068,UP,51.9,0,DOWN,51.9,-0.003,8.44818,0.061,0.0437,,,,,,,,
18-07-16,07:47:16,EUR/JPY,DOWN,49,-0.07,-0.0444,UP,51,0.0014,UP,51,0.0703,116.648,0.8663,0.5638,,,,,,,,
18-07-16,07:47:25,XAU/USD,UP,50.5,-0.05,0.0194,DOWN,51.4,-0.0915,DOWN,51.4,-0.0028,1329.912,10.912,7.7431,,,,,,,,
18-07-16,07:47:34,XAG/USD,DOWN,46.6,0.04,-6.00E-04,UP,41.8,0.001,UP,41.8,9.00E-04,20.00156,0.2158,0.1553,,,,,,,,
18-07-16,07:47:43,XPD/USD,UP,46.9,0.04,0.0295,UP,48.3,0.0204,UP,48.3,0.0158,641.975,10.5847,7.8348,,,,,,,,
18-07-16,07:47:53,XPT/USD,UP,51,0.07,0.9719,UP,54.3,0.1906,UP,52.4,0.2435,1086.549,12.1852,9.3042,,,,,,,,
18-07-16,20:31:23,EUR/USD,UP,48.6,-0.04,7.00E-04,UP,47.6,0,DOWN,51,-7.00E-04,1.10631,0.0063,0.0044,,,,,,,,
18-07-16,20:31:27,USD/JPY,DOWN,54.8,0.09,-0.0067,DOWN,51,-0.0147,UP,51.9,0.0051,105.391,0.6747,0.4912,,,,,,,,
18-07-16,20:31:31,GBP/USD,DOWN,54.8,-0.12,-0.0028,UP,57.2,1.00E-04,UP,57.2,7.00E-04,1.32271,0.0115,0.0065,,,,,,,,
18-07-16,20:31:35,USD/CHF,UP,51.9,0.14,0,UP,51.9,0,UP,51.9,0,0.98301,0.0049,0.0036,,,,,,,,
18-07-16,20:31:39,AUD/USD,UP,47.1,-0.1,0,UP,51,0,UP,49.5,0,0.75934,0.005,0.0038,,,,,,,,
18-07-16,20:31:42,USD/CAD,DOWN,46.6,-0.03,-5.00E-04,UP,47.6,0,DOWN,47.6,-1.00E-04,1.29414,0.0074,0.0055,,,,,,,,
18-07-16,20:31:46,EUR/CHF,UP,52.9,-0.2,0.001,UP,53.8,0,UP,53.8,4.00E-04,1.08742,0.0035,0.0025,,,,,,,,
18-07-16,20:31:50,EUR/GBP,UP,46.6,-0.05,5.00E-04,UP,46.6,0,DOWN,46.6,-2.00E-04,0.83621,0.0053,0.0035,,,,,,,,
18-07-16,20:31:53,NZD/USD,UP,53.4,-0.06,1.00E-04,UP,43.8,0,UP,43.8,4.00E-04,0.70948,0.0052,0.004,,,,,,,,
18-07-16,20:31:57,EUR/SEK,UP,51.9,-0.11,0.001,DOWN,51,-1.00E-04,DOWN,51,-6.00E-04,9.45924,0.0332,0.0242,,,,,,,,
18-07-16,20:32:00,EUR/NOK,DOWN,45.2,-0.07,-0.0027,UP,51,0,DOWN,51,-0.0012,9.34812,0.0504,0.0378,,,,,,,,
18-07-16,20:32:05,USD/SEK,DOWN,54.8,-0.1,-0.0048,UP,52.4,0,DOWN,52.9,-0.0017,8.54901,0.0524,0.0346,,,,,,,,
18-07-16,20:32:08,USD/NOK,DOWN,51.4,-0.13,-0.0068,UP,51.9,0,DOWN,51.9,-0.003,8.44818,0.061,0.0437,,,,,,,,
18-07-16,20:32:11,EUR/JPY,DOWN,49,-0.07,-0.0444,UP,51,0.0014,UP,51,0.0703,116.648,0.8663,0.5638,,,,,,,,
18-07-16,20:32:14,XAU/USD,UP,50.5,-0.05,0.0194,DOWN,51.4,-0.0915,DOWN,51.4,-0.0028,1329.912,10.912,7.7431,,,,,,,,
18-07-16,20:32:18,XAG/USD,DOWN,46.6,0.04,-6.00E-04,UP,41.8,0.001,UP,41.8,9.00E-04,20.00156,0.2158,0.1553,,,,,,,,
18-07-16,20:32:22,XPD/USD,UP,46.9,0.04,0.0295,UP,48.3,0.0204,UP,48.3,0.0158,641.975,10.5847,7.8348,,,,,,,,
18-07-16,20:32:26,XPT/USD,UP,51,0.07,0.9719,UP,54.3,0.1906,UP,52.4,0.2435,1086.549,12.1852,9.3042,,,,,,,,
18-07-16,21:53:09,EUR/USD,UP,48.1,-0.04,7.00E-04,UP,47.1,0,DOWN,50.5,-9.00E-04,1.10718,0.0063,0.0044,,,,,,,,
18-07-16,21:53:14,USD/JPY,UP,54.3,0.1,0.0598,UP,51.4,0.0531,UP,52.4,0.0887,106.147,0.676,0.4931,,,,,,,,
18-07-16,21:53:18,GBP/USD,DOWN,54.8,-0.12,-0.0028,UP,57.2,1.00E-04,UP,57.2,7.00E-04,1.32271,0.0115,0.0065,,,,,,,,
18-07-16,21:53:21,USD/CHF,UP,51.9,0.14,0,UP,51.9,0,UP,51.9,0,0.98301,0.0049,0.0036,,,,,,,,
18-07-16,21:53:26,AUD/USD,UP,47.1,-0.1,0,UP,51,0,UP,49.5,0,0.75934,0.005,0.0038,,,,,,,,
18-07-16,21:53:29,USD/CAD,DOWN,46.6,-0.03,-5.00E-04,UP,47.6,0,DOWN,47.6,-1.00E-04,1.29414,0.0074,0.0055,,,,,,,,
18-07-16,21:53:33,EUR/CHF,UP,52.9,-0.2,0.001,UP,53.8,0,UP,53.8,4.00E-04,1.08742,0.0035,0.0025,,,,,,,,
18-07-16,21:53:37,EUR/GBP,UP,46.6,-0.05,5.00E-04,UP,46.6,0,DOWN,46.6,-2.00E-04,0.83621,0.0053,0.0035,,,,,,,,
18-07-16,21:53:40,NZD/USD,UP,53.4,-0.06,1.00E-04,UP,43.8,0,UP,43.8,4.00E-04,0.70948,0.0052,0.004,,,,,,,,
18-07-16,21:53:45,EUR/SEK,UP,51.9,-0.11,0.001,DOWN,51,-1.00E-04,DOWN,51,-6.00E-04,9.45924,0.0332,0.0242,,,,,,,,
18-07-16,21:53:48,EUR/NOK,DOWN,45.2,-0.07,-0.0027,UP,51,0,DOWN,51,-0.0012,9.34812,0.0504,0.0378,,,,,,,,
18-07-16,21:53:53,USD/SEK,DOWN,54.8,-0.1,-0.0048,UP,52.4,0,DOWN,52.9,-0.0017,8.54901,0.0524,0.0346,,,,,,,,
18-07-16,21:53:56,USD/NOK,DOWN,51.4,-0.13,-0.0068,UP,51.9,0,DOWN,51.9,-0.003,8.44818,0.061,0.0437,,,,,,,,
18-07-16,21:53:59,EUR/JPY,DOWN,49,-0.07,-0.0444,UP,51,0.0014,UP,51,0.0703,116.648,0.8663,0.5638,,,,,,,,
18-07-16,21:54:03,XAU/USD,UP,50.5,-0.05,0.0194,DOWN,51.4,-0.0915,DOWN,51.4,-0.0028,1329.912,10.912,7.7431,,,,,,,,
18-07-16,21:54:07,XAG/USD,DOWN,46.6,0.04,-6.00E-04,UP,41.8,0.001,UP,41.8,9.00E-04,20.00156,0.2158,0.1553,,,,,,,,
18-07-16,21:54:11,XPD/USD,UP,46.9,0.04,0.0295,UP,48.3,0.0204,UP,48.3,0.0158,641.975,10.5847,7.8348,,,,,,,,
18-07-16,21:54:15,XPT/USD,UP,51,0.07,0.9719,UP,54.3,0.1906,UP,52.4,0.2435,1086.549,12.1852,9.3042,,,,,,,,
18-07-16,22:29:31,EUR/USD,UP,48.1,-0.04,7.00E-04,UP,47.1,0,DOWN,50.5,-9.00E-04,1.10718,0.0063,0.0044,,,,,,,,
18-07-16,22:29:35,USD/JPY,UP,54.3,0.1,0.0598,UP,51.4,0.0531,UP,52.4,0.0887,106.147,0.676,0.4931,,,,,,,,
18-07-16,22:29:40,GBP/USD,DOWN,54.3,-0.12,-0.0032,DOWN,56.7,-2.00E-04,UP,56.7,3.00E-04,1.32573,0.0115,0.0065,,,,,,,,
18-07-16,22:29:43,USD/CHF,DOWN,51.9,0.14,-1.00E-04,DOWN,51.9,-1.00E-04,DOWN,51.9,-1.00E-04,0.98241,0.0049,0.0036,,,,,,,,
18-07-16,22:29:47,AUD/USD,DOWN,46.6,-0.1,-1.00E-04,DOWN,50.5,-1.00E-04,UP,49,0,0.7601,0.005,0.0038,,,,,,,,
18-07-16,22:29:51,USD/CAD,DOWN,46.6,-0.03,-5.00E-04,UP,47.6,0,DOWN,47.6,-1.00E-04,1.29406,0.0074,0.0055,,,,,,,,
18-07-16,22:29:55,EUR/CHF,UP,52.4,-0.2,9.00E-04,DOWN,53.4,-1.00E-04,UP,53.4,3.00E-04,1.0879,0.0035,0.0025,,,,,,,,
18-07-16,22:29:58,EUR/GBP,UP,47.1,-0.05,6.00E-04,UP,46.2,0,DOWN,46.2,-1.00E-04,0.83516,0.0053,0.0035,,,,,,,,
18-07-16,22:30:02,NZD/USD,UP,53.8,-0.06,0,DOWN,44.2,-1.00E-04,UP,44.2,2.00E-04,0.7117,0.0052,0.004,,,,,,,,
18-07-16,22:30:06,EUR/SEK,DOWN,51.9,-0.11,-4.00E-04,DOWN,51,-0.0017,DOWN,51,-0.0022,9.47212,0.0332,0.0242,,,,,,,,
18-07-16,22:30:09,EUR/NOK,DOWN,45.2,-0.07,-0.0025,UP,51,2.00E-04,DOWN,51,-0.001,9.34505,0.0504,0.0378,,,,,,,,
18-07-16,22:30:13,USD/SEK,DOWN,54.8,-0.1,-0.0054,DOWN,52.4,-5.00E-04,DOWN,52.9,-0.0023,8.55507,0.0524,0.0347,,,,,,,,
18-07-16,22:30:16,USD/NOK,DOWN,51.4,-0.13,-0.0059,UP,51.9,0.001,DOWN,51.9,-0.0021,8.4409,0.061,0.0437,,,,,,,,
18-07-16,22:30:20,EUR/JPY,DOWN,48.6,-0.07,-0.1195,DOWN,50.5,-0.057,DOWN,50.5,-0.0138,117.572,0.8679,0.5663,,,,,,,,
18-07-16,22:30:23,XAU/USD,UP,50.5,-0.05,0.0477,DOWN,51.4,-0.0646,UP,51.4,0.003,1329.36,10.9118,7.7414,,,,,,,,
18-07-16,22:30:27,XAG/USD,UP,46.6,0.04,0.0013,UP,41.8,0.003,UP,41.8,0.0028,20.05732,0.2158,0.1554,,,,,,,,
